id,behavior
0x1,MB_SWAMP_TALL_GRASS
0x5,MB_JUMP_SOUTH
0x6,MB_JUMP_SOUTH
0xD,MB_JUMP_EAST
0xE,MB_JUMP_SOUTH
0xF,MB_JUMP_WEST
0x16,MB_JUMP_SOUTH
0x1C,MB_SWAMP_PLANTS
0x1E,MB_JUMP_WEST
0x1F,MB_JUMP_EAST
0x23,MB_PUDDLE
0x24,MB_PUDDLE
0x26,MB_JUMP_WEST
0x27,MB_JUMP_EAST
0x2B,MB_PUDDLE
0x2C,MB_PUDDLE
0x2D,MB_PUDDLE
0x2E,MB_PUDDLE
0x31,MB_PUDDLE
0x33,MB_PUDDLE
0x34,MB_PUDDLE
0x35,MB_PUDDLE
0x36,MB_PUDDLE
0x3B,MB_PUDDLE
0x3C,MB_PUDDLE
0x3D,MB_PUDDLE
0x8E,MB_BRIDGE_OVER_POND_MED_EDGE_1
0x8F,MB_BRIDGE_OVER_POND_MED
0x96,MB_BRIDGE_OVER_POND_MED_EDGE_1
0x97,MB_BRIDGE_OVER_POND_MED
0x9E,MB_BRIDGE_OVER_POND_MED_EDGE_1
0x9F,MB_BRIDGE_OVER_POND_MED_EDGE_1
0xA6,MB_BRIDGE_OVER_POND_MED
0xA7,MB_BRIDGE_OVER_POND_MED
0xC9,MB_NON_ANIMATED_DOOR
