OLD,NEW
0x001,0x001
0x002,0x002
0x003,0x003
0x004,0x005
0x00D,0x006
0x068,0x078
0x069,0x079
0x06A,0x07A
0x070,0x080
0x071,0x071
0x072,0x082
0x078,0x088
0x079,0x089
0x07A,0x08A
0x06B,0x098
0x06C,0x099
0x06D,0x09A
0x073,0x0A0
0x074,0x072
0x075,0x0A2
0x07B,0x0A8
0x07C,0x0A9
0x07D,0x0AA
0x080,0x0D0
0x081,0x0D1
0x082,0x0D2
0x088,0x0D8
0x089,0x070
0x08A,0x0DA
0x090,0x0E0
0x091,0x0E1
0x092,0x0E2
0x172,0x110
0x173,0x111
0x174,0x112
0x17A,0x118
0x17B,0x119
0x17C,0x11A
0x182,0x120
0x184,0x112
0x170,0x0ED
0x1D4,0x028
0x1D5,0x029
0x1D6,0x02A
0x1D7,0x02B
0x1DC,0x030
0x1DD,0x031
0x1DE,0x032
0x1DF,0x033
0x118,0x058
0x119,0x059
0x11A,0x05A
0x120,0x060
0x121,0x061
0x128,0x068
0x129,0x069
0x12A,0x06A
0x1AD,0x12B
0x1AE,0x12C
0x1AF,0x12D
0x1B5,0x133
0x19E,0x131
0x1B7,0x135
0x1BD,0x13B
0x1BE,0x13E
0x1BF,0x13F
0x19B,0x144
0x19C,0x145
0x1A3,0x14C
0x1A4,0x14D
0x195,0x128
0x196,0x129
0x197,0x12A
0x19D,0x130
0x19F,0x132
0x1A5,0x138
0x1A6,0x139
0x1A7,0x13A
0x185,0x140
0x186,0x141
0x18D,0x148
0x18E,0x149
0x13D,0x142
0x13E,0x143
0x145,0x14A
0x146,0x14B
0x00E,0x03E
0x00F,0x03E
0x016,0x046
0x017,0x046
0x01D,0x03F
0x093,0x09B
0x094,0x09C
0x09B,0x0A3
0x09C,0x0A4
0x0BE,0x0AB
0x0D3,0x08C
0x0AF,0x0BD
0x0CF,0x0BE
0x1C6,0x00A
0x1C7,0x00B
0x1CE,0x022
0x1CF,0x023
0x1E6,0x038
0x1E7,0x039
0x0BF,0x0AC
0x1A0,0x0B1
0x09F,0x0B7
0x0A7,0x0BF
0x0C7,0x03C
0x0C8,0x153
0x0C9,0x154
0x0CA,0x155
0x0D0,0x15B
0x0D1,0x15C
0x0D2,0x15D
0x0D8,0x163
0x0D9,0x164
0x08A,0x165
0x1FC,0x010
0x1FD,0x011
0x1E8,0x018
0x1E9,0x019
0x0D4,0x08C
0x1E4,0x038
0x1E5,0x039
0x0E2,0x0E3
0x122,0x062
