Rank,Dex #,Base Species,Votes,
1st,778,Mimikyu,434,
2nd,700,Sylveon,296,
3rd,94,Gengar,295,
4th,658,Greninja,272,
5th,258,Mudkip,236,
6th,448,Lucario,227,
7th,133,Eevee,210,
8th,1,Bulbasaur,207,
9th,393,Piplup,199,
10th,59,Arcanine,194,
11th,445,Garchomp,191,
12th,197,Umbreon,190,
13th,359,Absol,183,
14th,501,Oshawott,181,
15th,405,Luxray,179,
16th,54,Psyduck,176,
17th,257,Blaziken,171,
18th,194,Wooper,171,
19th,143,Snorlax,164,
20th,609,Chandelure,163,
21st,6,Charizard,163,
22nd,303,Mawile,162,
23rd,571,Zoroark,162,
24th,470,Leafeon,158,
25th,196,Espeon,157,
26th,26,Raichu,154,
27th,849,Toxtricity,154,
28th,149,Dragonite,153,
29th,38,Ninetales,151,
30th,722,Rowlet,149,
31st,151,Mew,147,
32nd,212,Scizor,145,
33rd,384,Rayquaza,144,
34th,37,Vulpix,144,
35th,181,Ampharos,137,
36th,715,Noivern,137,
37th,579,Reuniclus,134,
38th,677,Espurr,131,
39th,392,Infernape,131,
40th,330,Flygon,129,
41st,570,Zorua,126,
42nd,302,Sableye,125,
43rd,132,Ditto,124,
44th,254,Sceptile,122,
45th,195,Quagsire,120,
46th,959,Tinkaton,120,
47th,282,Gardevoir,117,
48th,980,Clodsire,116,
49th,724,Decidueye,116,
50th,471,Glaceon,116,
51st,131,Lapras,115,
52nd,7,Squirtle,115,
53rd,104,Cubone,113,
54th,25,Pikachu,113,
55th,887,Dragapult,110,
56th,595,Joltik,109,
57th,155,Cyndaquil,105,
58th,260,Swampert,105,
59th,134,Vaporeon,104,
60th,135,Jolteon,103,
61st,706,Goodra,100,
62nd,403,Shinx,99,
63rd,79,Slowpoke,99,
64th,472,Gliscor,98,
65th,872,Snom,96,
66th,158,Totodile,96,
67th,214,Heracross,95,
68th,937,Ceruledge,94,
69th,376,Metagross,94,
70th,637,Volcarona,94,
71st,385,Jirachi,91,
72nd,363,Spheal,90,
73rd,286,Breloom,89,
74th,389,Torterra,87,
75th,491,Darkrai,86,
76th,545,Scolipede,84,
77th,334,Altaria,83,
78th,635,Hydreigon,83,
79th,229,Houndoom,82,
80th,157,Typhlosion,82,
81st,248,Tyranitar,82,
82nd,494,Victini,82,
83rd,623,Golurk,80,
84th,475,Gallade,79,
85th,354,Banette,78,
86th,9,Blastoise,77,
87th,350,Milotic,75,
88th,418,Buizel,73,
89th,768,Golisopod,73,
90th,681,Aegislash,72,
91st,754,Lurantis,72,
92nd,704,Goomy,71,
93rd,306,Aggron,70,
94th,487,Giratina,70,
95th,730,Primarina,70,
96th,807,Zeraora,70,
97th,802,Marshadow,69,
98th,58,Growlithe,68,
99th,249,Lugia,68,
100th,492,Shaymin,68,
101st,497,Serperior,67,
102nd,745,Lycanroc,66,
103rd,179,Mareep,66,
104th,169,Crobat,64,
105th,300,Skitty,64,
106th,842,Appletun,62,
107th,395,Empoleon,62,
108th,612,Haxorus,62,
109th,162,Furret,61,
110th,643,Reshiram,61,
111th,152,Chikorita,60,
112th,27,Sandshrew,60,
113th,136,Flareon,59,
114th,39,Jigglypuff,59,
115th,150,Mewtwo,59,
116th,503,Samurott,59,
117th,909,Fuecoco,58,
118th,908,Meowscarada,58,
119th,714,Noibat,58,
120th,568,Trubbish,58,
121st,429,Mismagius,57,
122nd,387,Turtwig,57,
123rd,823,Corviknight,56,
124th,553,Krookodile,56,
125th,870,Falinks,55,
126th,478,Froslass,55,
127th,28,Sandslash,55,
128th,213,Shuckle,55,
129th,4,Charmander,54,
130th,130,Gyarados,54,
131st,43,Oddish,53,
132nd,474,Porygon-Z,53,
133rd,461,Weavile,53,
134th,65,Alakazam,52,
135th,815,Cinderace,52,
136th,906,Sprigatito,52,
137th,255,Torchic,52,
138th,83,Farfetch'd,51,
139th,423,Gastrodon,51,
140th,725,Litten,51,
141st,495,Snivy,50,
142nd,596,Galvantula,49,
143rd,93,Haunter,49,
144th,373,Salamence,49,
145th,468,Togekiss,49,
146th,160,Feraligatr,48,
147th,175,Togepi,48,
148th,6,Charizard X,47,
149th,549,Lilligant,47,
150th,270,Lotad,47,
151st,129,Magikarp,47,
152nd,80,Slowbro,47,
153rd,263,Zigzagoon,47,
154th,869,Alcremie,46,
155th,625,Bisharp,46,
156th,701,Hawlucha,46,
157th,447,Riolu,46,
158th,813,Scorbunny,46,
159th,702,Dedenne,45,
160th,727,Incineroar,45,
161st,1017,Ogerpon,45,
162nd,137,Porygon,45,
163rd,123,Scyther,45,
164th,728,Popplio,44,
165th,547,Whimsicott,44,
166th,190,Aipom,43,
167th,708,Phantump,43,
168th,61,Poliwhirl,43,
169th,663,Talonflame,43,
170th,453,Croagunk,42,
171st,425,Drifloon,42,
172nd,587,Emolga,42,
173rd,498,Tepig,42,
174th,184,Azumarill,41,
175th,251,Celebi,41,
176th,185,Sudowoodo,41,
177th,443,Gible,40,
178th,34,Nidoking,40,
179th,186,Politoed,40,
180th,737,Charjabug,39,
181st,382,Kyogre,39,
182nd,774,Minior,39,
183rd,710,Pumpkaboo,39,
184th,327,Spinda,39,
185th,386,Deoxys,38,
186th,502,Dewott,38,
187th,607,Litwick,38,
188th,678,Meowstic,38,
189th,800,Necrozma,38,
190th,744,Rockruff,38,
191st,773,Silvally,38,
192nd,925,Maushold,37,
193rd,417,Pachirisu,37,
194th,559,Scraggy,37,
195th,206,Dunsparce,36,
196th,653,Fennekin,36,
197th,655,Delphox,35,
198th,245,Suicune,35,
199th,333,Swablu,35,
200th,252,Treecko,35,
201st,399,Bidoof,34,
202nd,35,Clefairy,34,
203rd,148,Dragonair,34,
204th,530,Excadrill,34,
205th,52,Meowth,34,
206th,231,Phanpy,34,
207th,156,Quilava,34,
208th,479,Rotom,34,
209th,121,Starmie,34,
210th,63,Abra,33,
211th,560,Scrafty,33,
212th,3,Venusaur,33,
213th,466,Electivire,32,
214th,648,Meloetta,32,
215th,750,Mudsdale,32,
216th,292,Shedinja,32,
217th,604,Eelektross,31,
218th,8,Wartortle,31,
219th,831,Wooloo,31,
220th,718,Zygarde,31,
221st,304,Aron,30,
222nd,253,Grovyle,30,
223rd,572,Minccino,30,
224th,454,Toxicroak,30,
225th,531,Audino,29,
226th,760,Bewear,29,
227th,806,Blacephalon,29,
228th,555,Darmanitan,29,
229th,926,Fidough,29,
230th,198,Murkrow,29,
231st,215,Sneasel,29,
232nd,398,Staraptor,29,
233rd,709,Trevenant,29,
234th,321,Wailord,29,
235th,979,Annihilape,28,
236th,15,Beedrill,28,
237th,10,Caterpie,28,
238th,554,Darumaka,28,
239th,483,Dialga,28,
240th,719,Diancie,28,
241st,1019,Hydrapple,28,
242nd,473,Mamoswine,28,
243rd,183,Marill,28,
244th,200,Misdreavus,28,
245th,771,Pyukumuku,28,
246th,45,Vileplume,28,
247th,699,Aurorus,27,
248th,441,Chatot,27,
249th,390,Chimchar,27,
250th,633,Deino,27,
251st,462,Magnezone,27,
252nd,556,Maractus,27,
253rd,262,Mightyena,27,
254th,89,Muk,27,
255th,285,Shroomish,27,
256th,924,Tandemaus,27,
257th,726,Torracat,27,
258th,644,Zekrom,27,
259th,12,Butterfree,26,
260th,558,Crustle,26,
261st,649,Genesect,26,
262nd,574,Gothita,26,
263rd,141,Kabutops,26,
264th,707,Klefki,26,
265th,108,Lickitung,26,
266th,272,Ludicolo,26,
267th,620,Mienshao,26,
268th,540,Sewaddle,26,
269th,865,Sirfetch'd,26,
270th,208,Steelix,26,
271st,748,Toxapex,26,
272nd,697,Tyrantrum,26,
273rd,567,Archeops,25,
274th,927,Dachsbun,25,
275th,207,Gligar,25,
276th,2,Ivysaur,25,
277th,608,Lampent,25,
278th,380,Latias,25,
279th,81,Magnemite,25,
280th,105,Marowak,25,
281st,77,Ponyta,25,
282nd,280,Ralts,25,
283rd,227,Skarmory,25,
284th,816,Sobble,25,
285th,978,Tatsugiri,25,
286th,818,Inteleon,24,
287th,172,Pichu,24,
288th,551,Sandile,24,
289th,422,Shellos,24,
290th,114,Tangela,24,
291st,357,Tropius,24,
292nd,335,Zangoose,24,
293rd,840,Applin,23,
294th,851,Centiskorch,23,
295th,650,Chespin,23,
296th,244,Entei,23,
297th,542,Leavanny,23,
298th,792,Lunala,23,
299th,60,Poliwag,23,
300th,325,Spoink,23,
301st,508,Stoutland,23,
302nd,202,Wobbuffet,23,
303rd,716,Xerneas,23,
304th,144,Articuno,22,
305th,654,Braixen,22,
306th,845,Cramorant,22,
307th,355,Duskull,22,
308th,673,Gogoat,22,
309th,646,Kyurem,22,
310th,446,Munchlax,22,
311th,340,Whiscash,22,
312th,265,Wurmple,22,
313th,781,Dhelmise,21,
314th,147,Dratini,21,
315th,885,Dreepy,21,
316th,426,Drifblim,21,
317th,203,Girafarig,21,
318th,430,Honchkrow,21,
319th,801,Magearna,21,
320th,561,Sigilyph,21,
321st,988,Slither Wing,21,
322nd,332,Cacturne,20,
323rd,6,Charizard Y,20,
324th,652,Chesnaught,20,
325th,225,Delibird,20,
326th,569,Garbodor,20,
327th,945,Grafaiai,20,
328th,858,Hatterene,20,
329th,381,Latios,20,
330th,915,Lechonk,20,
331st,428,Lopunny,20,
332nd,674,Pancham,20,
333rd,261,Poochyena,20,
334th,524,Roggenrola,20,
335th,353,Shuppet,20,
336th,216,Teddiursa,20,
